date,home,away,pre_home_elo,pre_away_elo,pre_diff,final_home_elo,final_away_elo,final_diff,delta_diff,sign_flip,target
2013-01-20,Ghana,DR Congo,1746.430465164466,1496.532949556829,249.89751560763716,1581.8375507046671,1717.9800689678482,-136.14251826318105,386.0400338708182,True,1
2015-11-13,France,Germany,1804.9513923192758,2065.5523359442655,-260.60094362498967,2025.0585842600783,1906.2444079119773,118.814176348101,-379.41511997309067,True,0
2015-03-28,Ghana,Senegal,1733.0470739556001,1660.9555094436582,72.0915645119419,1581.8375507046671,1859.8751064790106,-278.03755577434345,350.12912028628534,True,2
2011-09-02,Germany,Austria,1974.9791269149575,1523.256109541203,451.7230173737546,1906.2444079119773,1803.0003257249514,103.24408218702592,348.4789351867287,False,0
2013-06-07,Austria,Sweden,1531.630004430788,1795.8276755390245,-264.1976711082366,1803.0003257249514,1719.6583475107986,83.34197821415273,-347.5396493223893,True,0
2010-01-24,Ivory Coast,Algeria,1815.3117916770668,1657.3620057262037,157.9497859508631,1738.2640538311362,1812.5607748368843,-74.29672100574817,232.24650695661126,True,2
2010-01-28,Algeria,Egypt,1693.0041553283968,1751.908655696731,-58.90450036833431,1812.5607748368843,1768.2475657417128,44.31320909517149,-103.2177094635058,True,2
2010-03-03,Scotland,Czechia,1654.79649387249,1734.1554219153222,-79.3589280428323,1755.1550580420485,1722.8425696079435,32.312488434105035,-111.67141647693734,True,0
2010-03-03,Germany,Argentina,1896.2089166264332,1857.537570520015,38.67134610641824,1906.2444079119773,2072.127602867781,-165.8831949558039,204.55454106222214,True,2
2010-03-03,Bosnia and Herzegovina,Ghana,1612.9874793337,1668.5295126032215,-55.542033269521426,1613.714476580652,1581.8375507046671,31.876925875984853,-87.41895914550628,True,0
