round,team_a,team_b,frequency,pct
R32,Uruguay,Argentina,38713,38.71
R32,Brazil,Netherlands,30603,30.6
R32,Brazil,Japan,30373,30.37
R32,Morocco,Netherlands,29129,29.13
R32,Morocco,Japan,28360,28.36
R16,Ecuador,France,12208,12.21
R16,Germany,France,12016,12.02
R16,Spain,Croatia,11167,11.17
R16,Spain,Portugal,11025,11.03
R16,Spain,Colombia,10726,10.73
QF,Argentina,Portugal,7268,7.27
QF,Argentina,Colombia,6535,6.54
QF,Türkiye,Spain,5525,5.53
QF,Switzerland,Argentina,5341,5.34
QF,Belgium,Spain,5300,5.3
SF,Spain,France,5888,5.89
SF,Brazil,Argentina,3949,3.95
SF,Argentina,England,3393,3.39
SF,France,Argentina,3190,3.19
SF,Ecuador,Spain,2954,2.95
Final,Spain,Argentina,4762,4.76
Final,France,Argentina,2495,2.5
Final,Spain,England,1838,1.84
Final,Brazil,Spain,1722,1.72
Final,Spain,Portugal,1653,1.65
